"","Survived","Pclass","Sex","Age"
"1",0,3,2,3
"2",1,1,1,4
"3",1,3,1,3
"4",1,1,1,4
"5",0,3,2,4
"6",0,3,2,3
"7",0,1,2,5
"8",0,3,2,1
"9",1,3,1,3
"10",1,2,1,2
"11",1,3,1,1
"12",1,1,1,5
"13",0,3,2,3
"14",0,3,2,4
"15",0,3,1,2
"16",1,2,1,5
"17",0,3,2,1
"18",1,2,2,3
"19",0,3,1,4
"20",1,3,1,3
"21",0,2,2,4
"22",1,2,2,4
"23",1,3,1,2
"24",1,1,2,3
"25",0,3,1,1
"26",1,3,1,4
"27",0,3,2,3
"28",0,1,2,3
"29",1,3,1,3
"30",0,3,2,3
"31",0,1,2,4
"32",1,1,1,4
"33",1,3,1,3
"34",0,2,2,5
"35",0,1,2,3
"36",0,1,2,4
"37",1,3,2,3
"38",0,3,2,3
"39",0,3,1,2
"40",1,3,1,2
"41",0,3,1,4
"42",0,2,1,3
"43",0,3,2,3
"44",1,2,1,1
"45",1,3,1,3
"46",0,3,2,3
"47",0,3,2,3
"48",1,3,1,3
"49",0,3,2,3
"50",0,3,1,2
"51",0,3,2,1
"52",0,3,2,3
"53",1,1,1,4
"54",1,2,1,3
"55",0,1,2,5
"56",1,1,2,4
"57",1,2,1,3
"58",0,3,2,3
"59",1,2,1,1
"60",0,3,2,1
"61",0,3,2,3
"62",1,1,1,4
"63",0,1,2,4
"64",0,3,2,1
"65",0,1,2,4
"66",1,3,2,3
"67",1,2,1,3
"68",0,3,2,3
"69",1,3,1,2
"70",0,3,2,3
"71",0,2,2,4
"72",0,3,1,2
"73",0,2,2,3
"74",0,3,2,3
"75",1,3,2,4
"76",0,3,2,3
"77",0,3,2,3
"78",0,3,2,3
"79",1,2,2,1
"80",1,3,1,3
"81",0,3,2,3
"82",1,3,2,3
"83",1,3,1,3
"84",0,1,2,3
"85",1,2,1,2
"86",1,3,1,4
"87",0,3,2,2
"88",0,3,2,3
"89",1,1,1,3
"90",0,3,2,3
"91",0,3,2,3
"92",0,3,2,3
"93",0,1,2,4
"94",0,3,2,3
"95",0,3,2,5
"96",0,3,2,3
"97",0,1,2,5
"98",1,1,2,3
"99",1,2,1,4
"100",0,2,2,4
"101",0,3,1,3
"102",0,3,2,3
"103",0,1,2,3
"104",0,3,2,4
"105",0,3,2,4
"106",0,3,2,3
"107",1,3,1,3
"108",1,3,2,3
"109",0,3,2,4
"110",1,3,1,3
"111",0,1,2,4
"112",0,3,1,2
"113",0,3,2,3
"114",0,3,1,3
"115",0,3,1,2
"116",0,3,2,3
"117",0,3,2,5
"118",0,2,2,3
"119",0,1,2,3
"120",0,3,1,1
"121",0,2,2,3
"122",0,3,2,3
"123",0,2,2,4
"124",1,2,1,4
"125",0,1,2,5
"126",1,3,2,1
"127",0,3,2,3
"128",1,3,2,3
"129",1,3,1,3
"130",0,3,2,4
"131",0,3,2,4
"132",0,3,2,3
"133",0,3,1,4
"134",1,2,1,3
"135",0,2,2,3
"136",0,2,2,3
"137",1,1,1,3
"138",0,1,2,4
"139",0,3,2,2
"140",0,1,2,3
"141",0,3,1,3
"142",1,3,1,3
"143",1,3,1,3
"144",0,3,2,3
"145",0,2,2,2
"146",0,2,2,3
"147",1,3,2,3
"148",0,3,1,1
"149",0,2,2,4
"150",0,2,2,4
"151",0,2,2,5
"152",1,1,1,3
"153",0,3,2,5
"154",0,3,2,4
"155",0,3,2,3
"156",0,1,2,5
"157",1,3,1,2
"158",0,3,2,3
"159",0,3,2,3
"160",0,3,2,3
"161",0,3,2,4
"162",1,2,1,4
"163",0,3,2,3
"164",0,3,2,2
"165",0,3,2,1
"166",1,3,2,1
"167",1,1,1,4
"168",0,3,1,4
"169",0,1,2,4
"170",0,3,2,3
"171",0,1,2,5
"172",0,3,2,1
"173",1,3,1,1
"174",0,3,2,3
"175",0,1,2,5
"176",0,3,2,2
"177",0,3,2,3
"178",0,1,1,4
"179",0,2,2,3
"180",0,3,2,4
"181",0,3,1,3
"182",0,2,2,4
"183",0,3,2,1
"184",1,2,2,1
"185",1,3,1,1
"186",0,1,2,4
"187",1,3,1,3
"188",1,1,2,4
"189",0,3,2,4
"190",0,3,2,4
"191",1,2,1,4
"192",0,2,2,3
"193",1,3,1,3
"194",1,2,2,1
"195",1,1,1,4
"196",1,1,1,5
"197",0,3,2,3
"198",0,3,2,4
"199",1,3,1,3
"200",0,2,1,3
"201",0,3,2,3
"202",0,3,2,3
"203",0,3,2,4
"204",0,3,2,4
"205",1,3,2,2
"206",0,3,1,1
"207",0,3,2,4
"208",1,3,2,3
"209",1,3,1,2
"210",1,1,2,4
"211",0,3,2,3
"212",1,2,1,4
"213",0,3,2,3
"214",0,2,2,3
"215",0,3,2,3
"216",1,1,1,4
"217",1,3,1,3
"218",0,2,2,4
"219",1,1,1,4
"220",0,2,2,3
